time,mw
00:00,0.0000
00:15,0.0000
00:30,0.0000
00:45,0.0000
01:00,0.0000
01:15,0.0000
01:30,0.0000
01:45,0.0000
02:00,0.0000
02:15,0.0000
02:30,0.0000
02:45,0.0000
03:00,0.0000
03:15,0.0000
03:30,0.0000
03:45,0.0000
04:00,0.0000
04:15,0.0000
04:30,0.0000
04:45,0.0000
05:00,0.0000
05:15,0.0000
05:30,0.0000
05:45,0.0000
06:00,0.0000
06:15,0.0000
06:30,0.2280
06:45,0.6920
07:00,1.3023
07:15,1.6866
07:30,2.1129
07:45,2.7576
08:00,2.9769
08:15,3.2362
08:30,4.5193
08:45,5.6944
09:00,5.9180
09:15,6.5562
09:30,7.2661
09:45,6.4676
10:00,5.8228
10:15,6.7944
10:30,7.2987
10:45,6.9597
11:00,7.5845
11:15,8.0389
11:30,6.8699
11:45,6.0565
12:00,6.6512
12:15,6.7917
12:30,6.6859
12:45,8.0671
13:00,8.9000
13:15,7.4486
13:30,6.1843
13:45,5.9511
14:00,5.4463
14:15,5.2248
14:30,6.5888
14:45,7.6290
15:00,7.0117
15:15,6.6559
15:30,6.4357
15:45,5.0060
16:00,3.7361
16:15,3.6059
16:30,3.3160
16:45,2.6292
17:00,2.3048
17:15,1.9182
17:30,1.1637
17:45,0.5825
18:00,0.2399
18:15,0.0000
18:30,0.0000
18:45,0.0000
19:00,0.0000
19:15,0.0000
19:30,0.0000
19:45,0.0000
20:00,0.0000
20:15,0.0000
20:30,0.0000
20:45,0.0000
21:00,0.0000
21:15,0.0000
21:30,0.0000
21:45,0.0000
22:00,0.0000
22:15,0.0000
22:30,0.0000
22:45,0.0000
23:00,0.0000
23:15,0.0000
23:30,0.0000
23:45,0.0000
