time,mw
00:00,0.0000
00:15,0.0000
00:30,0.0000
00:45,0.0000
01:00,0.0000
01:15,0.0000
01:30,0.0000
01:45,0.0000
02:00,0.0000
02:15,0.0000
02:30,0.0000
02:45,0.0000
03:00,0.0000
03:15,0.0000
03:30,0.0000
03:45,0.0000
04:00,0.0000
04:15,0.0000
04:30,0.0000
04:45,0.0000
05:00,0.0000
05:15,0.0000
05:30,0.0000
05:45,0.0000
06:00,0.0000
06:15,0.0000
06:30,0.2518
06:45,0.6400
07:00,1.1011
07:15,1.6127
07:30,2.1606
07:45,2.7342
08:00,3.3243
08:15,3.9229
08:30,4.5227
08:45,5.1169
09:00,5.6991
09:15,6.2633
09:30,6.8041
09:45,7.3161
10:00,7.7946
10:15,8.2351
10:30,8.6335
10:45,8.9863
11:00,9.2903
11:15,9.5428
11:30,9.7415
11:45,9.8847
12:00,9.9711
12:15,10.0000
12:30,9.9711
12:45,9.8847
13:00,9.7415
13:15,9.5428
13:30,9.2903
13:45,8.9863
14:00,8.6335
14:15,8.2351
14:30,7.7946
14:45,7.3161
15:00,6.8041
15:15,6.2633
15:30,5.6991
15:45,5.1169
16:00,4.5227
16:15,3.9229
16:30,3.3243
16:45,2.7342
17:00,2.1606
17:15,1.6127
17:30,1.1011
17:45,0.6400
18:00,0.2518
18:15,0.0000
18:30,0.0000
18:45,0.0000
19:00,0.0000
19:15,0.0000
19:30,0.0000
19:45,0.0000
20:00,0.0000
20:15,0.0000
20:30,0.0000
20:45,0.0000
21:00,0.0000
21:15,0.0000
21:30,0.0000
21:45,0.0000
22:00,0.0000
22:15,0.0000
22:30,0.0000
22:45,0.0000
23:00,0.0000
23:15,0.0000
23:30,0.0000
23:45,0.0000
